"","receiver","id_pk","station_name","deploy_date_time","recover_date_time","deploy_lat","deploy_long","detection_count","sum_deploy"
"119","VR2W-113522",1414,"bh-29","00:00.0","00:00.0",51.2396828,3.7474982,38560,41268
"120","VR2W-113522",1698,"HH8","00:00.0","00:00.0",51.076378,5.170783,89833,277392
"121","VR2W-113522",2354,"RingvWn","00:00.0","00:00.0",51.0535098,3.671468111,158,158
"122","VR2W-113523",1649,"bh-34","00:00.0","00:00.0",51.3223102,3.7290976,4843,4843
"123","VR2W-113524",1337,"me-7-2","00:00.0","00:00.0",51.082219,4.366229,501,928
"124","VR2W-113524",1411,"bh-24","00:00.0","00:00.0",51.2719206,3.7319803,879,879
"125","VR2W-113524",2346,"saTBZwa","00:00.0","00:00.0",50.88887981,3.677766148,5,8
"126","VR2W-113525",1639,"bh-12","00:00.0","00:00.0",51.2655417,3.6551322,2651,2651
"127","VR2W-113525",2308,"RingvN","00:00.0","00:00.0",51.10424598,3.711571312,30,30
"128","VR2W-113525",2433,"ak-38","00:00.0","00:00.0",51.168795,4.835036,1,1
"129","VR2W-113526",1406,"bh-17","00:00.0","00:00.0",51.2677225,3.6813137,15891,15891
"130","VR2W-113526",1493,"s-1","00:00.0","00:00.0",51.02811,3.78691,3357,4304
"131","VR2W-113527",1387,"ws-12A","00:00.0","00:00.0",51.3648799,3.765539,30,842
"132","VR2W-113527",2341,"soOud","00:00.0","00:00.0",50.84843846,3.616681093,51,594
"133","VR2W-113528",1421,"bh-7","00:00.0","00:00.0",51.254878,3.5621802,27514,27584
"134","VR2W-113528",1501,"s-9","00:00.0","00:00.0",51.19069,4.32954,1733,4827
"135","VR2W-113528",2301,"T0","00:00.0","00:00.0",51.00515148,3.746079172,22,74
"136","VR2W-113529",1365,"sIOud","00:00.0","00:00.0",50.85112213,3.61988108,7,35
"137","VR2W-113529",2487,"zandvlietsluis haven B","00:00.0","00:00.0",51.34458,4.30243,1138,2306
"138","VR2W-114258",1635,"bpns-WZ","00:00.0","00:00.0",51.376167,3.178666667,236,452
"139","VR2W-114312",1554,"bpns-W1","00:00.0","00:00.0",51.391333,3.303666667,32,402
"140","VR2W-115428",1631,"bpns-OH6","00:00.0","00:00.0",51.239667,2.9215,9,516
"141","VR2W-115428",1644,"bh-23","00:00.0","00:00.0",51.2672795,3.7173234,612,612
"142","VR2W-115429",1410,"bh-22","00:00.0","00:00.0",51.2684107,3.718915,5701,6696
"143","VR2W-115429",2030,"bn-Lier","00:00.0","00:00.0",51.11731,4.54958,401,448
"144","VR2W-115430",1367,"ngAspsa","00:00.0","00:00.0",50.91854362,3.666244163,14,99
"145","VR2W-115430",1407,"bh-18","00:00.0","00:00.0",51.2666113,3.6865616,6,6
"146","VR2W-115430",1497,"s-5","00:00.0","00:00.0",51.09258,4.17083,1328,5213
"147","VR2W-115431",1368,"ngAspso","00:00.0","00:00.0",50.91728709,3.669597115,12,17
"148","VR2W-115431",2181,"VLVS10","00:00.0","00:00.0",51.34117,4.16606,1430,1430
"149","VR2W-115432",1388,"ws-14","00:00.0","00:00.0",51.3601518,3.7798113,20,449
"150","VR2W-115432",2408,"soMrbk","00:00.0","00:00.0",50.8321884,3.587871973,209,438
"151","VR2W-115433",1369,"ngAspm","00:00.0","00:00.0",50.91786334,3.668031789,27,36
"152","VR2W-115434",1370,"ngOudm","00:00.0","00:00.0",50.8500077,3.620647993,7,14
"153","VR2W-115434",1525,"ws-23","00:00.0","00:00.0",51.3552573,3.7609896,192,753
"154","VR2W-115435",1341,"bh-26","00:00.0","00:00.0",51.2561385,3.7845731,1628,7179
"155","VR2W-115435",2273,"du-Hamveer","00:00.0","00:00.0",51.10507,4.14106,1,1
"156","VR2W-115435",2369,"ngOudso","00:00.0","00:00.0",50.84941689,3.619847034,5,6
"157","VR2W-115436",1371,"ngOudsa","00:00.0","00:00.0",50.85077422,3.621406632,11,65
"158","VR2W-115436",1544,"ak-36","00:00.0","00:00.0",51.159335,4.85635,2615,197031
"159","VR2W-115436",1646,"bh-28","00:00.0","00:00.0",51.2453761,3.7607615,7,7
"160","VR2W-115437",1408,"bh-20","00:00.0","00:00.0",51.269978,3.7030611,186476,186476
"161","VR2W-115438",1343,"","","00:00.0",NA,NA,44,252
"162","VR2W-115438",1423,"bh-9","00:00.0","00:00.0",51.2591163,3.5789817,5408,9137
"163","VR2W-115438",2026,"s-Wichelen","00:00.0","00:00.0",51.0168,3.92527,18,14978
"164","VR2W-115439",1405,"bh-14","00:00.0","30:00.0",51.2608054,3.669741,137,151
"165","VR2W-115439",1712,"HH1","00:00.0","00:00.0",50.941845,5.334551,142,22270
"166","VR2W-115440",1404,"bh-13","00:00.0","00:00.0",51.2664563,3.6608905,104194,157135
"167","VR2W-115440",2177,"VLVS6","00:00.0","00:00.0",51.36099,4.14259,2,62
"168","VR2W-115441",1498,"s-6","00:00.0","00:00.0",51.12287,4.2184,6452,16736
"169","VR2W-115441",1640,"bh-15","00:00.0","00:00.0",51.2602787,3.6691424,3228,3228
"170","VR2W-115442",1499,"s-7","00:00.0","00:00.0",51.11414,4.24123,2492,13827
"171","VR2W-115442",1645,"bh-25","00:00.0","00:00.0",51.268928,3.7506924,44,44
"172","VR2W-115443",1413,"bh-27","00:00.0","00:00.0",51.2574609,3.7637309,34,34
"173","VR2W-115443",1716,"HH6","00:00.0","00:00.0",51.041797,5.21874,14922,52039
"174","VR2W-115444",1422,"bh-8","00:00.0","00:00.0",51.265006,3.5547265,1824,1824
"175","VR2W-115444",2034,"s-Vlassenbroek","00:00.0","00:00.0",51.03955,4.16605,63,871
"176","VR2W-115444",2373,"SOmZwa","00:00.0","00:00.0",50.88675142,3.662822026,202,3470
"177","VR2W-115445",1327,"bh-36","00:00.0","00:00.0",51.3346375,3.7682595,158,103284
"178","VR2W-115445",2406,"Zult","00:00.0","00:00.0",50.92269133,3.431390431,19,19
"179","VR2W-115446",1403,"bh-11","00:00.0","00:00.0",51.2627862,3.616269,5611,5611
"180","VR2W-115447",1417,"bh-35","00:00.0","00:00.0",51.3290957,3.7541909,5838,5838
"181","VR2W-119047",1445,"ma-8","00:00.0","00:00.0",51.636119,5.992666,20,46
"182","VR2W-119048",1443,"ma-6","00:00.0","00:00.0",51.637577,5.996046,5,12
"183","VR2W-119049",1446,"ma-9","00:00.0","00:00.0",51.637191,5.993428,8,13
"184","VR2W-119052",1444,"ma-7","00:00.0","00:00.0",51.637311,5.993471,10,27
"185","VR2W-119056",1457,"ma-5","00:00.0","00:00.0",50.882698,5.706716,629,756
"186","VR2W-119057",1453,"ma-1","00:00.0","00:00.0",50.863936,5.699716,139,307
"187","VR2W-120092",1456,"ma-4","00:00.0","00:00.0",50.878418,5.677845,32116,32157
"188","VR2W-120095",1454,"ma-2","00:00.0","00:00.0",50.865472,5.697744,326,292345
"189","VR2W-120873",1536,"ws-PVTSS","00:00.0","00:00.0",51.4018055,3.7089134,12652,13793
"190","VR2W-120874",1520,"ws-11","00:00.0","00:00.0",51.4116308,3.7074635,5674,6367
"191","VR2W-120875",1664,"ws-2C","00:00.0","00:00.0",51.4169613,3.7188079,54,1077
"192","VR2W-120876",1522,"ws-13","00:00.0","00:00.0",51.4071859,3.7080883,35111,35753
"193","VR2W-120877",1526,"ws-25","00:00.0","00:00.0",51.351926,3.773559,398,1318
"194","VR2W-120878",1523,"ws-15","00:00.0","00:00.0",51.386465,3.7080085,891,5450
"195","VR2W-120879",1667,"ws-K","00:00.0","00:00.0",51.3508203,3.7866595,72,79
"196","VR2W-120880",1665,"ws-A1","00:00.0","00:00.0",51.3724995,3.7229828,99,1310
"197","VR2W-120881",1530,"ws-A3","00:00.0","00:00.0",51.3655375,3.734487,110,569
"198","VR2W-120882",1528,"ws-4","00:00.0","00:00.0",51.3970414,3.7153436,1162,2912
"199","VR2W-120883",1529,"ws-6","00:00.0","00:00.0",51.3913098,3.7161726,607,1882
"200","VR2W-120884",1531,"ws-A5","00:00.0","00:00.0",51.3584544,3.7454284,451,884
"201","VR2W-120885",1534,"ws-PPC","00:00.0","00:00.0",51.353339,3.7522275,244,599
"202","VR2W-120886",1524,"ws-15A","00:00.0","00:00.0",51.3805457,3.717259,519,1992
"203","VR2W-120887",1532,"ws-PPB","00:00.0","00:00.0",51.3536136,3.7376409,73,301
"204","VR2W-122155",1579,"ak-9","00:00.0","00:00.0",50.650369,5.611382,5778,132328
"205","VR2W-122156",2835,"ak-12","00:00.0","00:00.0",50.657856,5.644622,114,1817
"206","VR2W-122157",3290,"ak-14","00:00.0","00:00.0",50.714109,5.672638,59,59
"207","VR2W-122319",1377,"ak-31","30:00.0","00:00.0",51.097875,5.108846,3,195431
"208","VR2W-122320",1378,"de-7","00:00.0","00:00.0",50.9916225,5.0542423,13654,17788
"209","VR2W-122320",1736,"M-6","00:00.0","00:00.0",51.05546566,4.442865645,4462,16438
"210","VR2W-122321",1464,"ak-32","00:00.0","00:00.0",51.098211,5.108959,9,280921
"211","VR2W-122322",1379,"s-2a","00:00.0","00:00.0",51.02032,3.96965,1880,840234
"212","VR2W-122323",1662,"de-4","00:00.0","00:00.0",51.0089239,4.9623949,10159,10159
"213","VR2W-122324",1380,"ma-3","00:00.0","00:00.0",50.959753,5.742085,118,135
"214","VR2W-122325",1478,"de-2","00:00.0","00:00.0",50.9942609,4.8938203,37,98
"215","VR2W-122325",1495,"s-3","00:00.0","00:00.0",51.0434,4.04783,47141,98046
"216","VR2W-122326",1401,"ak-28","00:00.0","00:00.0",51.096684,5.108784,116191,299015
"217","VR2W-122327",1565,"ak-2","00:00.0","00:00.0",50.618026,5.591871,155,176
"218","VR2W-122328",1574,"ak-3","00:00.0","00:00.0",50.62285,5.580676,173,1263
"219","VR2W-122330",1427,"de-8","00:00.0","00:00.0",50.991246,5.0403814,27536,27545
"220","VR2W-122330",1746,"ak-27","00:00.0","00:00.0",50.9406792,5.3643243,17,7512
"221","VR2W-122331",1385,"ak-30","00:00.0","00:00.0",50.097208,5.109596,53,91093
"222","VR2W-122332",1558,"ak-1","00:00.0","00:00.0",50.614739,5.579158,315,886
"223","VR2W-122333",1474,"ak-24","00:00.0","00:00.0",50.9380396,5.4373164,1168,87169
"224","VR2W-122333",1595,"HH10","00:00.0","00:00.0",51.154979,5.147086,71805,909367
"225","VR2W-122334",1572,"ak-26","00:00.0","00:00.0",50.9406125,5.3743823,70,197914
"226","VR2W-122335",1434,"de-16","00:00.0","00:00.0",50.9901667,5.0616675,622,622
"227","VR2W-122336",1473,"ak-x","00:00.0","00:00.0",51.097476,5.109196,6545,6607
"228","VR2W-122336",2258,"s-4c","00:00.0","00:00.0",51.07363,4.19007,1907,19520
"229","VR2W-122337",1425,"de-5","00:00.0","00:00.0",51.0026609,4.9914479,1743,1743
"230","VR2W-122338",1624,"ws-25A","00:00.0","00:00.0",51.352186,3.781008,1,249
"231","VR2W-122340",1569,"ak-23","00:00.0","00:00.0",50.9357743,5.487716,823,15311
"232","VR2W-122341",1663,"de-6","00:00.0","00:00.0",50.9898768,5.0152068,573,573
"233","VR2W-122344",1661,"de-3","00:00.0","00:00.0",51.0028729,4.9333539,51,51
"234","VR2W-122347",1564,"ak-19","00:00.0","00:00.0",50.8608382,5.6386158,1036,14280
"235","VR2W-122348",1433,"de-14","00:00.0","00:00.0",50.9902591,5.0602737,12789,16827
"236","VR2W-122348",1756,"M-5","00:00.0","00:00.0",51.0340958,4.471940005,768,4976
"237","VR2W-122349",2440,"ak-35","00:00.0","00:00.0",51.1576335,4.8653041,8000,123333
"238","VR2W-122350",1424,"de-1","00:00.0","00:00.0",50.9851617,4.8410025,1273,1273
"239","VR2W-122350",1590,"M-4","00:00.0","00:00.0",51.02483717,4.495207458,9406,184663
"240","VR2W-122351",1765,"ak-40","00:00.0","00:00.0",51.2281277,4.5332846,71947,118082
"241","VR2W-122353",1571,"ak-25","00:00.0","00:00.0",50.9385133,5.4270421,45980,198484
