receiver,id_pk,station_name,deploy_date_time,recover_date_time,deploy_lat,deploy_long,detection_count
VR2W-112287,2628,s-2,00:00.0,00:00.0,51.00588,3.77876,24274
VR2W-112287,2761,s-2,00:00.0,00:00.0,51.00588,3.77876,8
VR2W-112287,2763,s-2,00:00.0,00:00.0,51.00588,3.77876,1655
VR2W-112287,2764,s-2,00:00.0,00:00.0,51.00588,3.77876,2868
VR2W-112288,1386,bh-33,00:00.0,00:00.0,51.3134659,3.7321561,1091
VR2W-112288,1568,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,3097
VR2W-112288,2431,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,1909
VR2W-112288,2675,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,828
VR2W-112288,2783,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,1825
VR2W-112288,2784,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,552
VR2W-112288,2785,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,17308
VR2W-112288,2786,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,11651
VR2W-112288,2787,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,4537
VR2W-112288,2789,ak-22,00:00.0,00:00.0,50.9356423,5.4970086,3745
VR2W-112289,1358,stgAsp,00:00.0,00:00.0,51.00435542,3.805413233,65
VR2W-112289,1390,ws-25B,00:00.0,00:00.0,51.3465544,3.800172,40
VR2W-112289,2321,stgAsp,00:00.0,00:00.0,51.00435542,3.805413233,2
VR2W-112289,2322,stgAsp,00:00.0,00:00.0,51.00435542,3.805413233,1638
VR2W-112289,2323,stgAsp,00:00.0,00:00.0,51.00435542,3.805413233,876
VR2W-112289,2324,stgAsp,00:00.0,00:00.0,51.00435542,3.805413233,622
VR2W-112289,2325,stgAsp,00:00.0,00:00.0,51.00435542,3.805413233,273
VR2W-112290,1359,Tsost,00:00.0,00:00.0,50.99154287,3.723474181,165
VR2W-112290,1415,bh-30,00:00.0,00:00.0,51.2448946,3.7481689,401832
VR2W-112290,2127,bh-30,00:00.0,00:00.0,51.2448946,3.7481689,48675
VR2W-112290,2310,Tsost,00:00.0,00:00.0,50.99154287,3.723474181,2113
VR2W-112290,2311,Tsost,00:00.0,00:00.0,50.99154287,3.723474181,64
VR2W-112290,2312,Tsost,00:00.0,00:00.0,50.99154287,3.723474181,73
VR2W-112290,2313,Tsost,00:00.0,00:00.0,50.99154287,3.723474181,247
VR2W-112290,2674,ak-21,00:00.0,00:00.0,50.888339,5.57446,749
VR2W-112290,3282,Test Rotselaar,00:00.0,00:00.0,50.947345,4.702879,9
VR2W-112291,1389,ws-16,00:00.0,00:00.0,51.3544901,3.795027,62
VR2W-112291,2396,Wett,00:00.0,00:00.0,51.0134878,3.929684123,243
VR2W-112291,2397,Wett,00:00.0,00:00.0,51.0134878,3.929684123,69
VR2W-112291,2398,Wett,00:00.0,00:00.0,51.0134878,3.929684123,186
