collectioncode,seriescode,ocean,station_name,station_type,stn_lat,stn_long,stationstatus,locality,model,instrumenttype,deploy_date,last_download,recovery_date,downloads,off_set,the_geom,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.23,2.64,active,North Sea,VR2W,rcvr,20170406,,,1,,01010000001F85EB51B81E05403D0AD7A3709D4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.23,4.53,active,,VR2W,rcvr,20171025,,,1,,01010000001F85EB51B81E12403D0AD7A3709D4940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.24,2.92,active,North Sea,VR2W,rcvr,20170925,,,1,,01010000005C8FC2F5285C07401F85EB51B89E4940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.24,4.4,active,,VR2W,rcvr,20171027,,,1,,01010000009A999999999911401F85EB51B89E4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.24,4.4,active,,VR2W,rcvr,20171025,,,1,,01010000009A999999999911401F85EB51B89E4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.24,4.4,active,,VR2W,rcvr,20171025,,,1,,01010000009A999999999911401F85EB51B89E4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.25,4.51,active,,VR2W,rcvr,20171025,,,1,,01010000000AD7A3703D0A12400000000000A04940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.27,4.33,active,,VR2W,rcvr,20171025,,,1,,010100000052B81E85EB511140C3F5285C8FA24940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.28,4.33,active,North Sea,VR2W,rcvr,20171025,,,1,,010100000052B81E85EB511140A4703D0AD7A34940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.29,2.88,active,North Sea,VR2W,rcvr,20170925,,,1,,01010000000AD7A3703D0A074085EB51B81EA54940,,,,,,,,,,,,,,,,,,,,,,,,
